"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"280035","occ","","","26758","Ogmophis cf. microcompactus","species","38106","species not entered","Ogmophis","genus","38106","Middle Miocene","","15.97","11.608","7384"
"280036","occ","","","26758","Charina prebottae","species","68098","","Charina prebottae","species","68098","Middle Miocene","","15.97","11.608","7384"
"280037","occ","","","26758","Natricinae indet.","subfamily","53081","","Natricinae","subfamily","53081","Middle Miocene","","15.97","11.608","7384"
"280038","occ","","","26758","Ameiseophis robinsoni","species","68127","","Ameiseophis robinsoni","species","68127","Middle Miocene","","15.97","11.608","7384"
"280039","occ","","","26758","Pseudocemophora cf. antiqua","species","38149","species not entered","Pseudocemophora","genus","38149","Middle Miocene","","15.97","11.608","7384"
"280040","occ","","","26759","Charina prebottae","species","68098","","Charina prebottae","species","68098","Middle Miocene","","15.97","11.608","7384"
"280041","occ","","","26759","Ameiseophis n. sp. robinsoni","species","68127","","Ameiseophis robinsoni","species","68127","Middle Miocene","","15.97","11.608","7384"
"284116","occ","10481","","27014","n. gen. Indophis n. sp. sahnii","species","84026","","Indophis sahnii","species","84026","Maastrichtian","","72.1","66","9917"
"284117","occ","","","27014","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Maastrichtian","","72.1","66","9917"
"285802","occ","","","16218","Serpentes ? indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Bridgerian","","50.3","46.2","1441"
"286291","occ","","","15837","Boavus occidentalis","species","68100","","Boavus occidentalis","species","68100","Bridgerian","","50.3","46.2","7542"
"286292","occ","","","15837","Dunnophis microechinus","species","38098","species not entered","Dunnophis","genus","38098","Bridgerian","","50.3","46.2","7542"
"286293","occ","","","15837","Calamagras primus","species","68034","","Calamagras primus","species","68034","Bridgerian","","50.3","46.2","7542"
"286294","occ","","","15837","Coniophis sp.","genus","38081","","Coniophis","genus","38081","Bridgerian","","50.3","46.2","7542"
"286367","occ","","","27269","Boavus occidentalis","species","68100","","Boavus occidentalis","species","68100","Bridgerian","","50.3","46.2","7542"
"286709","occ","","","27311","Colubridae indet.","family","38127","","Colubridae","family","38127","Colhuehuapian","","21","17.5","7545"
"286710","occ","","","27312","Colubridae indet.","family","38127","","Colubridae","family","38127","Miocene","","23.03","5.333","7545"
"286711","occ","","","27313","Colubridae indet.","family","38127","","Colubridae","family","38127","Middle Miocene","","15.97","11.608","7545"
"286975","occ","","","18284","Geringophis depressus","species","68116","","Geringophis depressus","species","68116","Barstovian","","15.97","13.6","778"
"286976","occ","","","18284","Charina prebottae","species","68098","","Charina prebottae","species","68098","Barstovian","","15.97","13.6","3503"
"286977","occ","","","18284","Ameiseophis cf. robinsoni","species","68127","","Ameiseophis robinsoni","species","68127","Barstovian","","15.97","13.6","778"
"286978","occ","","","18284","Nebraskophis skinneri","species","111007","","Nebraskophis skinneri","species","111007","Barstovian","","15.97","13.6","778"
"286979","occ","","","18284","Neonatrix elongata","species","110881","","Neonatrix elongata","species","110881","Barstovian","","15.97","13.6","778"
"286980","occ","","","18284","Neonatrix n. sp. magna","species","111008","","Neonatrix magna","species","111008","Barstovian","","15.97","13.6","778"
"286981","occ","","","18284","n. gen. Paleoheterodon n. sp. tiheni","species","111000","","Paleoheterodon tiheni","species","111000","Barstovian","","15.97","13.6","45289"
"286982","occ","","","18284","Salvadora paleolineata","species","110880","","Salvadora paleolineata","species","110880","Barstovian","","15.97","13.6","778"
"286983","occ","","","18284","Lampropeltis n. sp. similis","species","178474","","Lampropeltis similis","species","178474","Barstovian","","15.97","13.6","45289"
"286984","occ","","","18284","Elaphe n. sp. nebraskensis","species","111001","","Elaphe nebraskensis","species","111001","Barstovian","","15.97","13.6","45289"
"286985","occ","","","18284","Viperidae indet.","family","38156","","Viperidae","family","38156","Barstovian","","15.97","13.6","778"
"287338","occ","","","18442","Colubrinae indet.","subfamily","53080","","Colubrinae","subfamily","53080","Barstovian","","15.97","13.6","7565"
"287354","occ","","","18165","Boidae indet.","family","38086","","Boidae","family","38086","Barstovian","","15.97","13.6","7565"
"287669","occ","","","18320","Coluber constrictor","species","53099","","Coluber constrictor","species","53099","Late Hemphillian","Blancan","10.3","1.8","6086"
"287670","occ","","","18320","Paracoluber storei","species","38146","species not entered","Paracoluber","genus","38146","Late Hemphillian","Blancan","10.3","1.8","6086"
"287671","occ","","","18320","Elaphe sp.","genus","38134","","Elaphe","genus","38134","Late Hemphillian","Blancan","10.3","1.8","6086"
"287672","occ","","","18320","Paleoheterodon tiheni","species","111000","","Paleoheterodon tiheni","species","111000","Late Hemphillian","Blancan","10.3","1.8","6086"
"287673","occ","","","18320","Nerodia cf. erythrogaster","species","38141","species not entered","Nerodia","genus","38141","Late Hemphillian","Blancan","10.3","1.8","6086"
"287674","occ","","","18320","Nerodia sp.","genus","38141","","Nerodia","genus","38141","Late Hemphillian","Blancan","10.3","1.8","6086"
"287675","occ","","","18320","Thamnophis sp.","genus","53084","","Thamnophis","genus","53084","Late Hemphillian","Blancan","10.3","1.8","6086"
"287799","occ","","","27481","Pterygoboa miocenica","species","68119","","Pterygoboa miocenica","species","68119","Barstovian","","15.97","13.6","733"
"287800","occ","","","27481","Paleoheterodon tiheni","species","111000","","Paleoheterodon tiheni","species","111000","Barstovian","","15.97","13.6","733"
"287801","occ","","","27481","Nerodia sp.","genus","38141","","Nerodia","genus","38141","Barstovian","","15.97","13.6","733"
