Species	Status	min_age	max_age
Anura	extinct	0.0117	0.126
Wealdenbatrachus	extinct	125.45	130
Bufo	extinct	0.012	0.3
Rana	extinct	0.012	0.3
Hylidae	extinct	0.012	0.3
Anura	extinct	0.3	1.8
Rana	extinct	0.3	1.8
Discoglossidae	extinct	66	72.1
Eodiscoglossus	extinct	66	72.1
Anura	extinct	66	72.1
Anura	extinct	66	72.1
Eodiscoglossus	extinct	66	70.6
Eodiscoglossus	extinct	66	70.6
Eodiscoglossus	extinct	66	70.6
Discoglossidae	extinct	66	70.6
Scaphiopus	extinct	10.3	13.6
Bufo	extinct	10.3	13.6
Bufo_pliocompactilis	extinct	10.3	13.6
Rana	extinct	10.3	13.6
Eodiscoglossus_santonjae	extinct	125.45	130
Pelobatidae	extinct	47.8	56
Eopelobates	extinct	66	70.6
Paradiscoglossus_americanus	extinct	66	70.6
Paradiscoglossus_americanus	extinct	66	70.6
Palaeobatrachus_occidentalis	extinct	66	70.6
Scotiophryne	extinct	70.6	83.5
Theatonius_lancensis	extinct	66	70.6
Lechriodus_intergerivus	extinct	5.333	11.608
Leptodactylidae	extinct	5.333	11.608
Discoglossus	extinct	0.781	3.6
Alytes	extinct	0.781	3.6
Bufo_viridis	extant	0.126	0.781
Discoglossus	extinct	0.126	0.781
Anura	extinct	152.1	157.3
Rana	extinct	1.8	4.9
Anura	extinct	1.8	4.9
Scotiophryne	extinct	61.7	63.3
Discoglossidae	extinct	61.7	63.3
Latonia_gigantea	extinct	15.97	16.9
Pelophylax_ridibunda	extinct	15.97	16.9
Bufo	extinct	11.62	13.82
Bufo	extinct	11.62	13.82
Eopelobates_bayeri	extinct	11.62	13.82
Eopelobates	extinct	11.62	13.82
Hyla	extinct	11.62	13.82
Anura	extinct	11.62	13.82
Bufo	extinct	0.781	2.588
Ceratophrys	extinct	0.781	2.588
Bufo	extinct	0	0.0117
Leptodactylus	extinct	0	0.0117
Discoglossidae	extinct	47.8	56
Anura	extinct	47.8	56
Anura	extinct	113	125
Rana	extinct	0.0117	0.126
Rana	extinct	0.0117	0.126
Rana	extinct	13.6	15.97
Anura	extinct	10.3	13.6
Anura	extinct	0.0117	2.588
Rana	extinct	0.0117	0.126
Bufo	extinct	0.0117	0.126
Discoglossidae	extinct	66	70.6
Bufo	extinct	0.0117	0.126
Xenopus_arabiensis	extinct	23.03	33.9
Eleutherodactylus	extinct	13.82	20.44
Chelomophrynus_bayi	extinct	40.4	46.2
Proacris_mintoni	extinct	15.97	20.43
Anura	extinct	15.97	20.43
Scaphiopus_(Scaphiopus)_holbrooki	extinct	0.126	0.781
Bufo_terrestris	extinct	0.126	0.781
Gastrophryne_carolinensis	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Scaphiopus	extinct	0.0117	0.126
Gastrophryne_carolinensis	extinct	0.0117	0.126
Rana_pipiens	extinct	0.0117	0.126
Rana_catesbeiana	extinct	0.0117	0.126
Bufo_terrestris	extinct	0.0117	0.126
Acris_gryllus	extinct	0.0117	0.126
Pseudacris_ornata	extinct	0.0117	0.126
Hyla_cinerea	extinct	0.0117	0.126
Hyla_gratiosa	extinct	0.0117	0.126
Hyla_baderi	extinct	0.0117	0.126
Bufo_woodhousei	extant	0.0117	0.126
Rana_pipiens	extinct	0.0117	0.126
Acris	extinct	15.97	20.43
Anura	extinct	4.9	10.3
Acris_crepitans	extinct	0.3	1.8
Bufo_woodhousei	extant	0.0117	0.126
Spea_bombifrons	extinct	0.0117	0.126
Bufo_woodhousei	extant	0.0117	0.126
Pseudacris_triseriata	extinct	0.0117	0.126
Rana_catesbeiana	extinct	0.0117	0.126
Rana_pipiens	extinct	0.0117	0.126
Spea	extinct	1.8	4.9
Pseudacris_triseriata	extinct	0.0117	0.126
Pseudacris_triseriata	extinct	0.3	1.8
Pseudacris_triseriata	extinct	0.3	1.8
Pseudacris	extinct	0.0117	0.126
Anura	extinct	0.0117	0.126
Scaphiopus	extinct	0.0117	0.126
Bufo	extinct	0.0117	0.126
Leptodactylidae	extinct	66	72.1
Eleutherodactylus	extinct	0.0117	0.126
Syrrhophus_marnocki	extinct	0.0117	0.126
Bufo_woodhousei	extant	0.0117	0.126
Anura	extinct	5.333	11.608
Xenopus_romeri	extinct	48.6	58.7
Rana_temporaria	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Rana_temporaria	extinct	0.126	0.781
Anura	extinct	0.0117	0.126
Bufo	extinct	0.0117	0.126
Beelzebufo_ampinga	extinct	66	72.1
Bufo	extinct	1.8	4.9
Scaphiopus	extinct	0.0117	0.126
Eleutherodactylus	extinct	0.0117	0.126
Bufo	extinct	0.0117	0.126
Bufo_woodhousei	extant	0.0117	0.126
Rana_pipiens	extinct	0.0117	0.126
Rana	extinct	0.0117	0.126
Bufo	extinct	0.0117	0.126
Rana	extinct	0.0117	0.126
Bufo	extinct	30.8	33.3
